file,real_time_sec,user_time_sec,sys_time_sec,file_size,read_count
SRR2657613_1.fastq.gz,95.37,293.98,3.86,1.51 GB,"13,316,864"
SRR2657613_2.fastq.gz,91.33,275.41,4.56,1.40 GB,"13,316,864"
ERR9597096_1.fastq.gz,38.07,110.70,1.79,532.84 MB,"8,947,245"
ERR9597096_2.fastq.gz,42.56,122.58,2.15,563.96 MB,"8,947,245"
ERR12208157_1.fastq.gz,13.73,39.77,1.03,103.16 MB,"2,099,075"
ERR12208157_2.fastq.gz,20.48,67.83,1.20,112.39 MB,"2,099,075"
ERR3518720_1.fastq.gz,28.56,95.86,1.58,193.29 MB,"2,592,706"
ERR3518720_2.fastq.gz,29.12,96.27,1.77,203.68 MB,"2,592,706"
ERR5556694_1.fastq.gz,489.16,1840.85,19.59,1.23 GB,"15,896,076"
ERR5556694_2.fastq.gz,497.12,1864.25,20.97,1.34 GB,"15,896,076"
ERR10670994_1.fastq.gz,7.20,18.47,0.90,13.91 MB,"179,065"
ERR10670994_2.fastq.gz,5.91,17.40,0.77,14.36 MB,"179,065"
ERR10670995_1.fastq.gz,3.71,10.62,0.64,7.05 MB,"87,792"
ERR10670995_2.fastq.gz,3.95,10.39,0.70,7.00 MB,"87,792"
ERR10959867_1.fastq.gz,58.35,213.46,2.61,56.19 MB,"451,373"
ERR10959867_2.fastq.gz,44.03,162.16,2.17,46.56 MB,"451,373"
SRR11172610_1.fastq.gz,528.61,1998.27,24.69,770.71 MB,"10,658,858"
SRR11172610_2.fastq.gz,529.41,1985.88,26.62,819.53 MB,"10,658,858"
SRR24919655_1.fastq.gz,251.42,927.73,10.59,706.76 MB,"15,881,173"
SRR24919655_2.fastq.gz,271.65,994.81,13.10,710.20 MB,"15,881,173"
SRR8649743_1.fastq.gz,155.81,541.92,6.42,1.16 GB,"10,979,812"
SRR8649743_2.fastq.gz,180.01,622.29,8.94,1.32 GB,"10,979,812"
